# model = /Users/alexwolf/hholtz/01_projects/1512_scanpy/scanpy/scanpy/sim_models/krumsiek11.txt
# tmax = 160
# branching = True
# nrRealizations = 4
# noiseObs = 0
# noiseDyn = 0.001
# seed = 0
# it   Gata2   Gata1    Fog1    EKLF    Fli1     SCL   Cebpa    Pu.1    cJun  EgrNab    Gfi1
 144  0.5046  0.9983  0.5047  0.0113  0.7656  0.9929  0.0602  0.0035 -0.0039  0.0005  0.2540
 145  0.5054  0.9974  0.5035  0.0138  0.7677  0.9931  0.0571  0.0030 -0.0067  0.0031  0.2547
 146  0.5028  0.9979  0.5043  0.0154  0.7718  0.9952  0.0581  0.0027 -0.0047  0.0012  0.2523
 147  0.4982  0.9966  0.5033  0.0169  0.7733  0.9911  0.0558  0.0015 -0.0032 -0.0016  0.2493
 148  0.4979  0.9980  0.5038  0.0172  0.7720  0.9973  0.0562  0.0014 -0.0000  0.0046  0.2453
 149  0.4959  0.9982  0.5009  0.0138  0.7731  1.0009  0.0557  0.0022 -0.0017  0.0030  0.2397
 150  0.4973  1.0001  0.5020  0.0150  0.7747  1.0013  0.0581  0.0062  0.0021  0.0013  0.2369
 151  0.4971  1.0003  0.5028  0.0184  0.7751  1.0012  0.0570  0.0021  0.0018  0.0026  0.2399
 152  0.4955  1.0007  0.5024  0.0157  0.7759  0.9991  0.0558 -0.0012 -0.0017  0.0022  0.2361
 153  0.4950  1.0031  0.5029  0.0165  0.7745  1.0004  0.0555 -0.0029 -0.0040  0.0037  0.2348
 154  0.4970  1.0024  0.5041  0.0162  0.7801  0.9984  0.0566 -0.0053 -0.0010  0.0050  0.2328
 155  0.4966  1.0016  0.5048  0.0152  0.7782  0.9955  0.0560 -0.0054 -0.0012  0.0016  0.2293
 156  0.4905  1.0031  0.5033  0.0147  0.7761  0.9929  0.0565 -0.0067  0.0007 -0.0002  0.2303
 157  0.4941  0.9997  0.5060  0.0156  0.7775  0.9950  0.0571 -0.0037  0.0015  0.0028  0.2296
 158  0.4966  1.0008  0.5079  0.0102  0.7777  0.9905  0.0555 -0.0021  0.0005  0.0008  0.2281
 159  0.4995  1.0036  0.5071  0.0104  0.7802  0.9926  0.0551 -0.0024 -0.0018  0.0001  0.2324
   0  0.7991  0.0030  0.0015 -0.0011 -0.0013  0.0001  0.7999  0.7997  0.0009  0.0005 -0.0028
   1  0.7229  0.0061  0.0023 -0.0015  0.0024  0.0020  0.8221  0.7238  0.0784  0.0061  0.0974
   2  0.6557  0.0089  0.0049  0.0003  0.0022 -0.0008  0.8427  0.6586  0.1064  0.0161  0.1634
   3  0.5938  0.0120  0.0014  0.0018  0.0008 -0.0021  0.8570  0.5991  0.1222  0.0221  0.2027
   4  0.5360  0.0112 -0.0008 -0.0026  0.0021 -0.0061  0.8665  0.5443  0.1258  0.0223  0.2254
   5  0.4843  0.0130 -0.0076 -0.0001  0.0046 -0.0032  0.8797  0.4969  0.1297  0.0243  0.2431
   6  0.4403  0.0182 -0.0042  0.0007  0.0029 -0.0001  0.8905  0.4516  0.1316  0.0266  0.2552
   7  0.4012  0.0225 -0.0060 -0.0002  0.0048 -0.0006  0.8955  0.4120  0.1313  0.0289  0.2700
   8  0.3662  0.0246 -0.0032  0.0014  0.0031 -0.0015  0.9050  0.3781  0.1262  0.0266  0.2734
   9  0.3346  0.0276 -0.0015  0.0034  0.0043  0.0017  0.9119  0.3458  0.1230  0.0277  0.2782
  10  0.3092  0.0298  0.0008  0.0041  0.0034  0.0071  0.9238  0.3190  0.1199  0.0296  0.2785
  11  0.2840  0.0318  0.0012  0.0005  0.0041  0.0089  0.9317  0.2980  0.1211  0.0364  0.2791
  12  0.2640  0.0345  0.0007  0.0007  0.0037  0.0114  0.9383  0.2782  0.1189  0.0347  0.2723
  13  0.2441  0.0372 -0.0025 -0.0012  0.0053  0.0130  0.9438  0.2680  0.1190  0.0344  0.2707
  14  0.2253  0.0436 -0.0024  0.0021  0.0091  0.0133  0.9463  0.2548  0.1152  0.0334  0.2700
  15  0.2107  0.0468 -0.0024  0.0076  0.0081  0.0161  0.9484  0.2442  0.1101  0.0311  0.2690
  16  0.1984  0.0538 -0.0006  0.0091  0.0087  0.0199  0.9568  0.2342  0.1098  0.0317  0.2727
  17  0.1857  0.0587 -0.0003  0.0087  0.0084  0.0221  0.9613  0.2272  0.1058  0.0298  0.2760
  18  0.1770  0.0645  0.0011  0.0090  0.0060  0.0222  0.9653  0.2208  0.1063  0.0291  0.2785
  19  0.1664  0.0673  0.0020  0.0078  0.0094  0.0278  0.9689  0.2125  0.1041  0.0294  0.2794
  20  0.1590  0.0738  0.0015  0.0092  0.0068  0.0289  0.9700  0.2054  0.1042  0.0299  0.2807
  21  0.1509  0.0722  0.0020  0.0078  0.0038  0.0353  0.9718  0.2007  0.0995  0.0284  0.2862
  22  0.1492  0.0714  0.0025  0.0140  0.0066  0.0381  0.9720  0.1993  0.0989  0.0286  0.2911
  23  0.1445  0.0706  0.0049  0.0148  0.0107  0.0411  0.9767  0.1999  0.0957  0.0306  0.2930
  24  0.1402  0.0730  0.0063  0.0143  0.0122  0.0407  0.9761  0.2024  0.0999  0.0315  0.2912
  25  0.1389  0.0725  0.0069  0.0163  0.0140  0.0406  0.9781  0.2060  0.0972  0.0301  0.2917
  26  0.1364  0.0761  0.0068  0.0130  0.0147  0.0441  0.9750  0.2033  0.0948  0.0285  0.2932
  27  0.1363  0.0786  0.0082  0.0151  0.0153  0.0463  0.9812  0.2048  0.0921  0.0291  0.2963
  28  0.1339  0.0796  0.0069  0.0145  0.0171  0.0539  0.9840  0.2069  0.0884  0.0310  0.2958
  29  0.1305  0.0847  0.0085  0.0156  0.0150  0.0565  0.9853  0.2108  0.0883  0.0348  0.2913
  30  0.1276  0.0846  0.0087  0.0156  0.0124  0.0569  0.9906  0.2103  0.0888  0.0282  0.2906
  31  0.1238  0.0827  0.0080  0.0176  0.0158  0.0603  0.9893  0.2130  0.0886  0.0267  0.2899
  32  0.1210  0.0770  0.0100  0.0174  0.0171  0.0605  0.9918  0.2194  0.0885  0.0290  0.2966
  33  0.1187  0.0773  0.0107  0.0185  0.0164  0.0598  0.9913  0.2219  0.0878  0.0299  0.2996
  34  0.1158  0.0758  0.0095  0.0171  0.0140  0.0573  0.9951  0.2252  0.0877  0.0324  0.3007
  35  0.1131  0.0785  0.0121  0.0212  0.0153  0.0587  0.9946  0.2275  0.0886  0.0303  0.3019
  36  0.1122  0.0777  0.0109  0.0218  0.0127  0.0596  0.9941  0.2355  0.0893  0.0283  0.3032
  37  0.1072  0.0748  0.0119  0.0230  0.0139  0.0585  0.9989  0.2410  0.0910  0.0281  0.3086
  38  0.1028  0.0746  0.0094  0.0226  0.0179  0.0600  1.0018  0.2489  0.0894  0.0280  0.3093
  39  0.0990  0.0747  0.0085  0.0216  0.0202  0.0572  1.0025  0.2566  0.0881  0.0277  0.3119
  40  0.0972  0.0720  0.0094  0.0201  0.0221  0.0575  1.0000  0.2602  0.0866  0.0225  0.3188
  41  0.0910  0.0694  0.0116  0.0167  0.0212  0.0590  0.9977  0.2646  0.0859  0.0206  0.3350
  42  0.0881  0.0635  0.0127  0.0144  0.0243  0.0575  0.9993  0.2765  0.0842  0.0192  0.3470
  43  0.0777  0.0648  0.0107  0.0142  0.0227  0.0554  1.0009  0.2916  0.0783  0.0182  0.3636
  44  0.0751  0.0614  0.0109  0.0140  0.0234  0.0511  0.9961  0.3049  0.0730  0.0199  0.3763
  45  0.0672  0.0573  0.0062  0.0126  0.0243  0.0472  0.9971  0.3239  0.0715  0.0206  0.3870
  46  0.0605  0.0557  0.0099  0.0120  0.0209  0.0449  0.9990  0.3487  0.0693  0.0166  0.3983
  47  0.0558  0.0487  0.0070  0.0078  0.0213  0.0421  1.0022  0.3729  0.0685  0.0143  0.4193
  48  0.0541  0.0413  0.0061  0.0081  0.0214  0.0373  1.0017  0.3980  0.0627  0.0150  0.4442
  49  0.0473  0.0383  0.0069  0.0082  0.0187  0.0349  1.0021  0.4264  0.0628  0.0124  0.4633
  50  0.0406  0.0333  0.0086  0.0041  0.0166  0.0321  1.0035  0.4560  0.0572  0.0091  0.4903
  51  0.0375  0.0293  0.0067  0.0051  0.0111  0.0277  1.0031  0.4869  0.0538  0.0077  0.5204
  52  0.0345  0.0260  0.0056  0.0032  0.0092  0.0229  1.0014  0.5207  0.0548  0.0092  0.5525
  53  0.0355  0.0241  0.0018  0.0041  0.0093  0.0204  0.9994  0.5490  0.0520  0.0077  0.5806
  54  0.0338  0.0206  0.0042  0.0010  0.0103  0.0208  0.9973  0.5815  0.0465  0.0034  0.6118
  55  0.0295  0.0149  0.0014  0.0002  0.0086  0.0173  0.9992  0.6120  0.0456  0.0037  0.6484
  56  0.0271  0.0161 -0.0009  0.0042  0.0087  0.0183  0.9966  0.6404  0.0462  0.0017  0.6776
  57  0.0234  0.0168 -0.0031  0.0043  0.0105  0.0146  0.9972  0.6661  0.0422  0.0024  0.7058
  58  0.0197  0.0159 -0.0013  0.0039  0.0117  0.0134  0.9977  0.6918  0.0429  0.0049  0.7283
  59  0.0190  0.0129 -0.0024  0.0057  0.0121  0.0116  0.9980  0.7171  0.0406  0.0068  0.7472
  60  0.0188  0.0127 -0.0019  0.0055  0.0136  0.0106  0.9989  0.7410  0.0410  0.0035  0.7613
  61  0.0136  0.0091 -0.0000  0.0055  0.0110  0.0114  1.0007  0.7634  0.0377  0.0030  0.7768
  62  0.0130  0.0047  0.0062  0.0049  0.0092  0.0106  1.0040  0.7838  0.0360  0.0054  0.7941
  63  0.0121  0.0046  0.0084  0.0015  0.0085  0.0119  1.0038  0.8002  0.0354  0.0076  0.8068
  64  0.0067  0.0030  0.0063  0.0018  0.0057  0.0093  1.0053  0.8150  0.0358  0.0093  0.8085
  65  0.0036  0.0040  0.0098  0.0048  0.0029  0.0103  1.0043  0.8335  0.0347  0.0092  0.8087
  66  0.0022  0.0014  0.0081  0.0054  0.0016  0.0070  1.0051  0.8450  0.0368  0.0106  0.8054
  67  0.0035  0.0008  0.0072  0.0045 -0.0017  0.0118  1.0106  0.8645  0.0355  0.0123  0.7970
  68  0.0019 -0.0007  0.0076  0.0025 -0.0015  0.0157  1.0082  0.8786  0.0353  0.0115  0.7900
  69 -0.0005  0.0007  0.0056  0.0028 -0.0028  0.0182  1.0054  0.8891  0.0327  0.0156  0.7795
  70  0.0001  0.0043  0.0040  0.0038 -0.0027  0.0153  1.0046  0.9017  0.0336  0.0166  0.7638
  71  0.0010  0.0058  0.0050  0.0017  0.0019  0.0136  1.0057  0.9121  0.0304  0.0145  0.7487
  72 -0.0005  0.0014  0.0029  0.0017  0.0003  0.0109  1.0029  0.9236  0.0279  0.0121  0.7384
  73 -0.0007  0.0043 -0.0017  0.0010  0.0004  0.0126  1.0038  0.9318  0.0295  0.0122  0.7401
  74  0.0017  0.0049 -0.0038  0.0020 -0.0004  0.0123  1.0060  0.9391  0.0310  0.0104  0.7420
  75  0.0020  0.0058 -0.0027  0.0012 -0.0029  0.0137  1.0065  0.9440  0.0288  0.0112  0.7460
  76  0.0056  0.0060 -0.0008 -0.0000 -0.0048  0.0128  1.0063  0.9488  0.0278  0.0064  0.7508
  77  0.0010  0.0034  0.0003 -0.0009 -0.0041  0.0157  1.0050  0.9543  0.0263  0.0042  0.7670
  78 -0.0035  0.0037 -0.0005 -0.0013 -0.0014  0.0136  1.0037  0.9554  0.0244  0.0030  0.7852
  79 -0.0036  0.0011 -0.0017  0.0015 -0.0033  0.0083  1.0048  0.9596  0.0232  0.0023  0.8049
  80 -0.0045  0.0013 -0.0018  0.0058 -0.0019  0.0051  1.0035  0.9609  0.0182  0.0031  0.8223
  81 -0.0054  0.0006  0.0006  0.0042  0.0025  0.0081  1.0022  0.9671  0.0173  0.0013  0.8407
  82 -0.0044 -0.0017  0.0009  0.0039  0.0020  0.0053  1.0022  0.9687  0.0191  0.0033  0.8540
  83 -0.0062 -0.0005  0.0028  0.0042 -0.0001  0.0053  1.0035  0.9725  0.0186  0.0011  0.8643
  84 -0.0032 -0.0016  0.0028  0.0041 -0.0030  0.0062  1.0058  0.9703  0.0221  0.0036  0.8738
  85 -0.0008 -0.0045  0.0032  0.0015 -0.0052  0.0076  1.0098  0.9704  0.0200  0.0038  0.8789
  86 -0.0009 -0.0052  0.0032  0.0030 -0.0049  0.0053  1.0059  0.9697  0.0174  0.0017  0.8827
  87 -0.0004 -0.0044  0.0010  0.0014 -0.0041  0.0082  1.0084  0.9742  0.0192  0.0018  0.8915
  88  0.0004 -0.0036 -0.0013 -0.0013 -0.0069  0.0088  1.0077  0.9741  0.0203 -0.0020  0.9007
  89  0.0016 -0.0057 -0.0028 -0.0019 -0.0092  0.0088  1.0056  0.9772  0.0227 -0.0029  0.9079
  90  0.0043 -0.0044 -0.0029 -0.0042 -0.0110  0.0089  1.0077  0.9774  0.0187 -0.0027  0.9122
  91  0.0029 -0.0048 -0.0007 -0.0074 -0.0067  0.0103  1.0058  0.9793  0.0164 -0.0001  0.9190
  92  0.0046 -0.0024  0.0024 -0.0066 -0.0074  0.0084  1.0077  0.9780  0.0156  0.0033  0.9253
  93  0.0057  0.0025  0.0060 -0.0083 -0.0069  0.0096  1.0043  0.9815  0.0139 -0.0000  0.9315
  94  0.0058 -0.0008  0.0053 -0.0048 -0.0079  0.0051  1.0027  0.9819  0.0128 -0.0021  0.9381
  95  0.0049  0.0001  0.0076 -0.0053 -0.0099  0.0030  1.0040  0.9834  0.0174  0.0006  0.9442
  96  0.0026  0.0016  0.0087 -0.0013 -0.0097 -0.0002  1.0010  0.9825  0.0152 -0.0037  0.9445
  97  0.0010 -0.0015  0.0051 -0.0056 -0.0109 -0.0001  0.9991  0.9858  0.0147  0.0001  0.9469
  98  0.0017 -0.0009  0.0059 -0.0041 -0.0127  0.0027  1.0012  0.9888  0.0157  0.0004  0.9482
  99  0.0033  0.0025  0.0038 -0.0023 -0.0113  0.0005  0.9991  0.9893  0.0158 -0.0009  0.9526
 100  0.0022 -0.0025  0.0025 -0.0013 -0.0115 -0.0025  1.0013  0.9851  0.0158 -0.0003  0.9539
 101  0.0027 -0.0007  0.0033 -0.0021 -0.0107 -0.0073  0.9994  0.9876  0.0167  0.0040  0.9537
 102  0.0010 -0.0020  0.0027 -0.0006 -0.0094 -0.0082  0.9983  0.9895  0.0161  0.0061  0.9528
 103 -0.0018  0.0012  0.0018  0.0010 -0.0121 -0.0074  0.9983  0.9941  0.0151  0.0051  0.9486
 104 -0.0016 -0.0011  0.0026 -0.0014 -0.0084 -0.0067  1.0020  0.9956  0.0121  0.0063  0.9434
 105 -0.0007 -0.0027 -0.0022 -0.0006 -0.0084 -0.0050  1.0045  1.0011  0.0128  0.0055  0.9396
 106 -0.0002 -0.0030 -0.0008 -0.0023 -0.0017 -0.0051  1.0037  1.0037  0.0119  0.0047  0.9403
 107 -0.0000 -0.0031 -0.0037 -0.0025 -0.0061 -0.0018  1.0033  1.0054  0.0141  0.0054  0.9383
 108  0.0010 -0.0060 -0.0048 -0.0004 -0.0048 -0.0024  1.0029  1.0067  0.0164  0.0070  0.9398
 109  0.0010 -0.0050 -0.0075 -0.0036 -0.0073  0.0003  1.0010  1.0062  0.0178  0.0050  0.9357
 110  0.0013 -0.0048 -0.0074 -0.0052 -0.0027 -0.0005  0.9988  1.0052  0.0160  0.0050  0.9303
 111  0.0031 -0.0044 -0.0053  0.0004 -0.0020  0.0006  0.9990  1.0037  0.0170  0.0060  0.9304
 112  0.0040 -0.0049 -0.0044  0.0020 -0.0009 -0.0012  1.0010  1.0015  0.0203  0.0063  0.9264
 113  0.0024 -0.0035 -0.0028  0.0016 -0.0004 -0.0013  1.0027  1.0006  0.0214  0.0027  0.9278
 114  0.0036 -0.0006 -0.0018  0.0002 -0.0010  0.0011  1.0038  1.0032  0.0185  0.0014  0.9326
 115  0.0036 -0.0017 -0.0026  0.0049 -0.0051  0.0024  1.0048  1.0039  0.0179 -0.0011  0.9367
 116  0.0036 -0.0032 -0.0034  0.0032 -0.0023  0.0036  1.0062  1.0058  0.0195 -0.0015  0.9401
 117  0.0018 -0.0049  0.0001  0.0010  0.0000  0.0044  1.0066  1.0055  0.0204 -0.0021  0.9432
 118 -0.0000 -0.0055 -0.0014 -0.0013 -0.0025  0.0020  1.0021  1.0051  0.0189 -0.0044  0.9453
 119 -0.0035 -0.0040 -0.0032 -0.0007 -0.0018 -0.0000  1.0024  1.0047  0.0187 -0.0066  0.9389
 120 -0.0071 -0.0056 -0.0025  0.0002 -0.0020 -0.0040  1.0032  1.0047  0.0155 -0.0102  0.9278
 121 -0.0053 -0.0073 -0.0031  0.0033  0.0006 -0.0011  1.0012  1.0025  0.0137 -0.0045  0.9215
 122 -0.0010 -0.0068 -0.0031  0.0045 -0.0015 -0.0032  0.9998  1.0044  0.0113 -0.0052  0.9236
 123 -0.0017 -0.0023 -0.0046  0.0052  0.0033 -0.0023  0.9987  1.0078  0.0105 -0.0070  0.9217
 124 -0.0025  0.0006 -0.0001  0.0069  0.0048 -0.0008  0.9951  1.0050  0.0144 -0.0072  0.9174
 125 -0.0014  0.0029 -0.0026  0.0083  0.0030  0.0000  0.9967  1.0052  0.0130 -0.0051  0.9144
 126  0.0001  0.0038 -0.0015  0.0065  0.0026  0.0015  0.9945  1.0036  0.0144 -0.0030  0.9207
 127  0.0019  0.0020  0.0014  0.0059  0.0048  0.0008  0.9966  1.0070  0.0151 -0.0008  0.9236
 128  0.0013  0.0018 -0.0016  0.0077  0.0045 -0.0000  0.9966  1.0074  0.0135 -0.0022  0.9318
 129  0.0014 -0.0000 -0.0017  0.0060  0.0053  0.0002  0.9890  1.0061  0.0140 -0.0034  0.9351
 130  0.0012  0.0023  0.0008  0.0046  0.0053  0.0032  0.9867  1.0054  0.0131 -0.0067  0.9380
 131  0.0045  0.0011  0.0021  0.0024  0.0070  0.0006  0.9872  1.0040  0.0125 -0.0076  0.9325
 132  0.0077  0.0017  0.0034  0.0055  0.0049 -0.0010  0.9914  1.0053  0.0113 -0.0099  0.9200
 133  0.0061 -0.0006  0.0036  0.0096  0.0063 -0.0023  0.9914  1.0067  0.0126 -0.0062  0.9187
 134  0.0046 -0.0029  0.0047  0.0083  0.0047 -0.0058  0.9915  1.0034  0.0144 -0.0047  0.9198
 135  0.0025 -0.0020  0.0026  0.0064  0.0047 -0.0078  0.9926  1.0030  0.0153 -0.0054  0.9198
 136 -0.0023 -0.0027  0.0013  0.0059  0.0014 -0.0077  0.9938  1.0012  0.0143 -0.0046  0.9246
 137  0.0004 -0.0045  0.0011  0.0046  0.0035 -0.0082  0.9927  1.0007  0.0133 -0.0049  0.9222
 138 -0.0006 -0.0044  0.0010  0.0071  0.0049 -0.0112  0.9953  1.0034  0.0123 -0.0061  0.9246
 139 -0.0025 -0.0051 -0.0003  0.0076  0.0030 -0.0067  0.9932  1.0029  0.0140 -0.0055  0.9267
 140 -0.0038 -0.0068  0.0007  0.0066 -0.0003 -0.0066  0.9921  1.0051  0.0130 -0.0046  0.9243
 141 -0.0023 -0.0119  0.0046  0.0063  0.0037 -0.0059  0.9913  1.0040  0.0146 -0.0022  0.9326
 142 -0.0034 -0.0117  0.0020  0.0028  0.0030 -0.0026  0.9923  1.0021  0.0158 -0.0021  0.9364
 143 -0.0047 -0.0134  0.0031  0.0018  0.0046 -0.0006  0.9908  0.9996  0.0136 -0.0015  0.9376
 144 -0.0035 -0.0163  0.0017  0.0016  0.0035 -0.0008  0.9938  0.9976  0.0130  0.0009  0.9446
 145 -0.0020 -0.0149 -0.0009  0.0021  0.0013 -0.0018  0.9938  0.9941  0.0150 -0.0055  0.9497
 146 -0.0036 -0.0151  0.0024 -0.0013  0.0012  0.0004  0.9976  0.9917  0.0123 -0.0032  0.9441
 147 -0.0032 -0.0116  0.0010  0.0008 -0.0024  0.0006  1.0010  0.9934  0.0108 -0.0065  0.9492
 148 -0.0023 -0.0083  0.0027  0.0005  0.0006 -0.0014  1.0014  0.9927  0.0136 -0.0067  0.9400
 149 -0.0010 -0.0060  0.0022  0.0034 -0.0011 -0.0018  0.9997  0.9933  0.0132 -0.0049  0.9404
 150 -0.0024 -0.0073 -0.0011  0.0036 -0.0024 -0.0008  0.9975  0.9958  0.0165 -0.0064  0.9398
 151  0.0007 -0.0051  0.0008  0.0036 -0.0030 -0.0012  1.0006  0.9932  0.0161 -0.0076  0.9372
 152 -0.0008 -0.0076  0.0025  0.0028 -0.0048 -0.0003  1.0016  0.9920  0.0150 -0.0095  0.9325
 153 -0.0029 -0.0045  0.0027  0.0051 -0.0046 -0.0039  0.9989  0.9913  0.0177 -0.0087  0.9232
 154  0.0002 -0.0020  0.0061  0.0048 -0.0043 -0.0016  0.9989  0.9911  0.0152 -0.0072  0.9160
 155 -0.0010 -0.0020  0.0015  0.0029 -0.0055 -0.0004  0.9990  0.9915  0.0107 -0.0076  0.9119
 156  0.0028 -0.0030  0.0009  0.0049 -0.0073  0.0020  1.0000  0.9946  0.0127 -0.0082  0.9095
 157  0.0030 -0.0035  0.0008  0.0052 -0.0066  0.0001  1.0014  0.9977  0.0125 -0.0046  0.9069
 158  0.0063 -0.0023 -0.0005  0.0081 -0.0046 -0.0006  0.9983  0.9970  0.0109 -0.0030  0.9118
 159  0.0049  0.0002 -0.0013  0.0054 -0.0036  0.0009  1.0011  0.9967  0.0066 -0.0033  0.9177
